year_film,year_ceremony,ceremony,category,name,film,winner
1937,1938,10,ACTOR,Charles Boyer,Conquest,False
1937,1938,10,ACTOR,Fredric March,A Star Is Born,False
1937,1938,10,ACTOR,Robert Montgomery,Night Must Fall,False
1937,1938,10,ACTOR,Paul Muni,The Life of Emile Zola,False
1937,1938,10,ACTOR,Spencer Tracy,Captains Courageous,True
1937,1938,10,ACTOR IN A SUPPORTING ROLE,Ralph Bellamy,The Awful Truth,False
1937,1938,10,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,The Hurricane,False
1937,1938,10,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,The Life of Emile Zola,True
1937,1938,10,ACTOR IN A SUPPORTING ROLE,H. B. Warner,Lost Horizon,False
1937,1938,10,ACTOR IN A SUPPORTING ROLE,Roland Young,Topper,False
1937,1938,10,ACTRESS,Irene Dunne,The Awful Truth,False
1937,1938,10,ACTRESS,Greta Garbo,Camille,False
1937,1938,10,ACTRESS,Janet Gaynor,A Star Is Born,False
1937,1938,10,ACTRESS,Luise Rainer,The Good Earth,True
1937,1938,10,ACTRESS,Barbara Stanwyck,Stella Dallas,False
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago,True
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Andrea Leeds,Stage Door,False
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Anne Shirley,Stella Dallas,False
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,Dead End,False
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Dame May Whitty,Night Must Fall,False
1937,1938,10,ART DIRECTION,"Cedric Gibbons, William Horning",Conquest,False
1937,1938,10,ART DIRECTION,Carroll Clark,A Damsel in Distress,False
1937,1938,10,ART DIRECTION,Richard Day,Dead End,False
1937,1938,10,ART DIRECTION,Wiard Ihnen,Every Day's a Holiday,False
1937,1938,10,ART DIRECTION,Anton Grot,The Life of Emile Zola,False
1937,1938,10,ART DIRECTION,Stephen Goosson,Lost Horizon,True
1937,1938,10,ART DIRECTION,John Victor Mackay,Manhattan Merry-Go-Round,False
1937,1938,10,ART DIRECTION,Lyle Wheeler,The Prisoner of Zenda,False
1937,1938,10,ART DIRECTION,"Hans Dreier, Roland Anderson",Souls at Sea,False
1937,1938,10,ART DIRECTION,Alexander Toluboff,Walter Wanger's Vogues of 1938,False
1937,1938,10,ART DIRECTION,"William S. Darling, David Hall",Wee Willie Winkie,False
1937,1938,10,ART DIRECTION,Jack Otterson,You're a Sweetheart,False
1937,1938,10,ASSISTANT DIRECTOR,Robert Webb,In Old Chicago,True
1937,1938,10,ASSISTANT DIRECTOR,Russ Saunders,The Life of Emile Zola,False
1937,1938,10,ASSISTANT DIRECTOR,"C. C. Coleman, Jr.",Lost Horizon,False
1937,1938,10,ASSISTANT DIRECTOR,Hal Walker,Souls at Sea,False
1937,1938,10,ASSISTANT DIRECTOR,Eric Stacey,A Star Is Born,False
1937,1938,10,CINEMATOGRAPHY,Gregg Toland,Dead End,False
1937,1938,10,CINEMATOGRAPHY,Karl Freund,The Good Earth,True
1937,1938,10,CINEMATOGRAPHY,Joseph Valentine,Wings over Honolulu,False
1937,1938,10,DANCE DIRECTION,Busby Berkeley,Varsity Show,False
1937,1938,10,DANCE DIRECTION,Bobby Connolly,"Ready, Willing and Able",False
1937,1938,10,DANCE DIRECTION,Dave Gould,A Day at the Races,False
1937,1938,10,DANCE DIRECTION,Sammy Lee,Ali Baba Goes to Town,False
1937,1938,10,DANCE DIRECTION,Harry Losee,Thin Ice,False
1937,1938,10,DANCE DIRECTION,Hermes Pan,A Damsel in Distress,True
1937,1938,10,DANCE DIRECTION,LeRoy Prinz,Waikiki Wedding,False
1937,1938,10,DIRECTING,Leo McCarey,The Awful Truth,True
1937,1938,10,DIRECTING,Sidney Franklin,The Good Earth,False
1937,1938,10,DIRECTING,William Dieterle,The Life of Emile Zola,False
1937,1938,10,DIRECTING,Gregory La Cava,Stage Door,False
1937,1938,10,DIRECTING,William Wellman,A Star Is Born,False
1937,1938,10,FILM EDITING,Al Clark,The Awful Truth,False
1937,1938,10,FILM EDITING,Elmo Veron,Captains Courageous,False
1937,1938,10,FILM EDITING,Basil Wrangell,The Good Earth,False
1937,1938,10,FILM EDITING,"Gene Havlick, Gene Milford",Lost Horizon,True
1937,1938,10,FILM EDITING,Bernard W. Burton,One Hundred Men and a Girl,False
1937,1938,10,MUSIC (Scoring),"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)",The Hurricane,False
1937,1938,10,MUSIC (Scoring),"20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)",In Old Chicago,False
1937,1938,10,MUSIC (Scoring),"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)",The Life of Emile Zola,False
1937,1938,10,MUSIC (Scoring),"Columbia Studio Music Department, Morris Stoloff, head of department  (Score by Dimitri Tiomkin)",Lost Horizon,False
1937,1938,10,MUSIC (Scoring),"Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)",Make a Wish,False
