year_film,year_ceremony,ceremony,category,name,film,winner
2007,2008,80,ACTOR IN A LEADING ROLE,George Clooney,Michael Clayton,False
2007,2008,80,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,There Will Be Blood,True
2007,2008,80,ACTOR IN A LEADING ROLE,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street,False
2007,2008,80,ACTOR IN A LEADING ROLE,Tommy Lee Jones,In the Valley of Elah,False
2007,2008,80,ACTOR IN A LEADING ROLE,Viggo Mortensen,Eastern Promises,False
2007,2008,80,ACTOR IN A SUPPORTING ROLE,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,False
2007,2008,80,ACTOR IN A SUPPORTING ROLE,Javier Bardem,No Country for Old Men,True
2007,2008,80,ACTOR IN A SUPPORTING ROLE,Philip Seymour Hoffman,Charlie Wilson's War,False
2007,2008,80,ACTOR IN A SUPPORTING ROLE,Hal Holbrook,Into the Wild,False
2007,2008,80,ACTOR IN A SUPPORTING ROLE,Tom Wilkinson,Michael Clayton,False
2007,2008,80,ACTRESS IN A LEADING ROLE,Cate Blanchett,Elizabeth: The Golden Age,False
2007,2008,80,ACTRESS IN A LEADING ROLE,Julie Christie,Away from Her,False
2007,2008,80,ACTRESS IN A LEADING ROLE,Marion Cotillard,La Vie en Rose,True
2007,2008,80,ACTRESS IN A LEADING ROLE,Laura Linney,The Savages,False
2007,2008,80,ACTRESS IN A LEADING ROLE,Ellen Page,Juno,False
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Cate Blanchett,I'm Not There,False
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Ruby Dee,American Gangster,False
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Saoirse Ronan,Atonement,False
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Amy Ryan,Gone Baby Gone,False
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Tilda Swinton,Michael Clayton,True
2007,2008,80,ANIMATED FEATURE FILM,Marjane Satrapi and Vincent Paronnaud,Persepolis,False
2007,2008,80,ANIMATED FEATURE FILM,Brad Bird,Ratatouille,True
2007,2008,80,ANIMATED FEATURE FILM,Ash Brannon and Chris Buck,Surf's Up,False
2007,2008,80,ART DIRECTION,Art Direction: Arthur Max; Set Decoration: Beth A. Rubino,American Gangster,False
2007,2008,80,ART DIRECTION,Art Direction: Sarah Greenwood; Set Decoration: Katie Spencer,Atonement,False
2007,2008,80,ART DIRECTION,Art Direction: Dennis Gassner; Set Decoration: Anna Pinnock,The Golden Compass,False
2007,2008,80,ART DIRECTION,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,Sweeney Todd The Demon Barber of Fleet Street,True
2007,2008,80,ART DIRECTION,Art Direction: Jack Fisk; Set Decoration: Jim Erickson,There Will Be Blood,False
2007,2008,80,CINEMATOGRAPHY,Roger Deakins,The Assassination of Jesse James by the Coward Robert Ford,False
2007,2008,80,CINEMATOGRAPHY,Seamus McGarvey,Atonement,False
2007,2008,80,CINEMATOGRAPHY,Janusz Kaminski,The Diving Bell and the Butterfly,False
2007,2008,80,CINEMATOGRAPHY,Roger Deakins,No Country for Old Men,False
2007,2008,80,CINEMATOGRAPHY,Robert Elswit,There Will Be Blood,True
2007,2008,80,COSTUME DESIGN,Albert Wolsky,Across the Universe,False
2007,2008,80,COSTUME DESIGN,Jacqueline Durran,Atonement,False
2007,2008,80,COSTUME DESIGN,Alexandra Byrne,Elizabeth: The Golden Age,True
2007,2008,80,COSTUME DESIGN,Marit Allen,La Vie en Rose,False
2007,2008,80,COSTUME DESIGN,Colleen Atwood,Sweeney Todd The Demon Barber of Fleet Street,False
2007,2008,80,DIRECTING,Julian Schnabel,The Diving Bell and the Butterfly,False
2007,2008,80,DIRECTING,Jason Reitman,Juno,False
2007,2008,80,DIRECTING,Tony Gilroy,Michael Clayton,False
2007,2008,80,DIRECTING,Joel Coen and Ethan Coen,No Country for Old Men,True
2007,2008,80,DIRECTING,Paul Thomas Anderson,There Will Be Blood,False
2007,2008,80,DOCUMENTARY (Feature),Charles Ferguson and Audrey Marrs,No End in Sight,False
2007,2008,80,DOCUMENTARY (Feature),Richard E. Robbins,Operation Homecoming: Writing the Wartime Experience,False
2007,2008,80,DOCUMENTARY (Feature),Michael Moore and Meghan O'Hara,Sicko,False
2007,2008,80,DOCUMENTARY (Feature),Alex Gibney and Eva Orner,Taxi to the Dark Side,True
2007,2008,80,DOCUMENTARY (Feature),Andrea Nix Fine and Sean Fine,War/Dance,False
2007,2008,80,DOCUMENTARY (Short Subject),Cynthia Wade and Vanessa Roth,Freeheld,True
2007,2008,80,DOCUMENTARY (Short Subject),Amanda Micheli and Isabel Vega,La Corona (The Crown),False
2007,2008,80,DOCUMENTARY (Short Subject),Tim Sternberg and Francisco Bello,Salim Baba,False
2007,2008,80,DOCUMENTARY (Short Subject),James Longley,Sari's Mother,False
2007,2008,80,FILM EDITING,Christopher Rouse,The Bourne Ultimatum,True
2007,2008,80,FILM EDITING,Juliette Welfling,The Diving Bell and the Butterfly,False
2007,2008,80,FILM EDITING,Jay Cassidy,Into the Wild,False
2007,2008,80,FILM EDITING,Roderick Jaynes,No Country for Old Men,False
2007,2008,80,FILM EDITING,Dylan Tichenor,There Will Be Blood,False
2007,2008,80,FOREIGN LANGUAGE FILM,Israel,Beaufort,False
2007,2008,80,FOREIGN LANGUAGE FILM,Austria,The Counterfeiters,True
2007,2008,80,FOREIGN LANGUAGE FILM,Poland,Katyn,False
