year_film,year_ceremony,ceremony,category,name,film,winner
1967,1968,40,ACTOR,Warren Beatty,Bonnie and Clyde,False
1967,1968,40,ACTOR,Dustin Hoffman,The Graduate,False
1967,1968,40,ACTOR,Paul Newman,Cool Hand Luke,False
1967,1968,40,ACTOR,Rod Steiger,In the Heat of the Night,True
1967,1968,40,ACTOR,Spencer Tracy,Guess Who's Coming to Dinner,False
1967,1968,40,ACTOR IN A SUPPORTING ROLE,John Cassavetes,The Dirty Dozen,False
1967,1968,40,ACTOR IN A SUPPORTING ROLE,Gene Hackman,Bonnie and Clyde,False
1967,1968,40,ACTOR IN A SUPPORTING ROLE,Cecil Kellaway,Guess Who's Coming to Dinner,False
1967,1968,40,ACTOR IN A SUPPORTING ROLE,George Kennedy,Cool Hand Luke,True
1967,1968,40,ACTOR IN A SUPPORTING ROLE,Michael J. Pollard,Bonnie and Clyde,False
1967,1968,40,ACTRESS,Anne Bancroft,The Graduate,False
1967,1968,40,ACTRESS,Faye Dunaway,Bonnie and Clyde,False
1967,1968,40,ACTRESS,Dame Edith Evans,The Whisperers,False
1967,1968,40,ACTRESS,Audrey Hepburn,Wait until Dark,False
1967,1968,40,ACTRESS,Katharine Hepburn,Guess Who's Coming to Dinner,True
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Carol Channing,Thoroughly Modern Millie,False
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Mildred Natwick,Barefoot in the Park,False
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Estelle Parsons,Bonnie and Clyde,True
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Beah Richards,Guess Who's Coming to Dinner,False
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Katharine Ross,The Graduate,False
1967,1968,40,ART DIRECTION,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown",Camelot,True
1967,1968,40,ART DIRECTION,"Art Direction:  Mario Chiari, Jack Martin Smith, Ed Graves;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",Doctor Dolittle,False
1967,1968,40,ART DIRECTION,Art Direction:  Robert Clatworthy;  Set Decoration:  Frank Tuttle,Guess Who's Coming to Dinner,False
1967,1968,40,ART DIRECTION,"Art Direction:  Renzo Mongiardino, John DeCuir, Elven Webb, Giuseppe Mariani;  Set Decoration:  Dario Simoni, Luigi Gervasi",The Taming of the Shrew,False
1967,1968,40,ART DIRECTION,"Art Direction:  Alexander Golitzen, George C. Webb;  Set Decoration:  Howard Bristol",Thoroughly Modern Millie,False
1967,1968,40,CINEMATOGRAPHY,Burnett Guffey,Bonnie and Clyde,True
1967,1968,40,CINEMATOGRAPHY,Richard H. Kline,Camelot,False
1967,1968,40,CINEMATOGRAPHY,Robert Surtees,Doctor Dolittle,False
1967,1968,40,CINEMATOGRAPHY,Robert Surtees,The Graduate,False
1967,1968,40,CINEMATOGRAPHY,Conrad Hall,In Cold Blood,False
1967,1968,40,COSTUME DESIGN,Theadora Van Runkle,Bonnie and Clyde,False
1967,1968,40,COSTUME DESIGN,John Truscott,Camelot,True
1967,1968,40,COSTUME DESIGN,Bill Thomas,The Happiest Millionaire,False
1967,1968,40,COSTUME DESIGN,"Irene Sharaff, Danilo Donati",The Taming of the Shrew,False
1967,1968,40,COSTUME DESIGN,Jean Louis,Thoroughly Modern Millie,False
1967,1968,40,DIRECTING,Arthur Penn,Bonnie and Clyde,False
1967,1968,40,DIRECTING,Mike Nichols,The Graduate,True
1967,1968,40,DIRECTING,Stanley Kramer,Guess Who's Coming to Dinner,False
1967,1968,40,DIRECTING,Richard Brooks,In Cold Blood,False
1967,1968,40,DIRECTING,Norman Jewison,In the Heat of the Night,False
1967,1968,40,DOCUMENTARY (Feature),"Pierre Schoendoerffer, Producer",The Anderson Platoon,True
1967,1968,40,DOCUMENTARY (Feature),"Murray Lerner, Producer",Festival,False
1967,1968,40,DOCUMENTARY (Feature),"Carroll Ballard, Producer",Harvest,False
1967,1968,40,DOCUMENTARY (Feature),"Jack Le Vien, Producer",A King's Story,False
1967,1968,40,DOCUMENTARY (Feature),"William C. Jersey, Producer",A Time for Burning,False
1967,1968,40,DOCUMENTARY (Short Subject),"Charles E. Guggenheim, Producer",Monument to the Dream,False
1967,1968,40,DOCUMENTARY (Short Subject),"Christopher Chapman, Producer",A Place to Stand,False
1967,1968,40,DOCUMENTARY (Short Subject),"Mark Harris and Trevor Greenwood, Producers",The Redwoods,True
1967,1968,40,DOCUMENTARY (Short Subject),"Robert Fitchett, Producer",See You at the Pillar,False
1967,1968,40,DOCUMENTARY (Short Subject),"Carl V. Ragsdale, Producer",While I Run This Race,False
1967,1968,40,FILM EDITING,Frank P. Keller,Beach Red,False
1967,1968,40,FILM EDITING,Michael Luciano,The Dirty Dozen,False
1967,1968,40,FILM EDITING,"Samuel E. Beetley, Marjorie Fowler",Doctor Dolittle,False
1967,1968,40,FILM EDITING,Robert C. Jones,Guess Who's Coming to Dinner,False
1967,1968,40,FILM EDITING,Hal Ashby,In the Heat of the Night,True
1967,1968,40,FOREIGN LANGUAGE FILM,Czechoslovakia,Closely Watched Trains,True
1967,1968,40,FOREIGN LANGUAGE FILM,Spain,El Amor Brujo,False
1967,1968,40,FOREIGN LANGUAGE FILM,Yugoslavia,I Even Met Happy Gypsies,False
1967,1968,40,FOREIGN LANGUAGE FILM,France,Live for Life,False
1967,1968,40,FOREIGN LANGUAGE FILM,Japan,Portrait of Chieko,False
1967,1968,40,MUSIC (Original Music Score),Lalo Schifrin,Cool Hand Luke,False
